agency,description,name,price
Launch Powered By Compass,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,898'}",7686 E Stagecoach Pass Road Carefree Arizona,"$2,975,000"
Hague Partners,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,625'}",42650 N 52nd Street Spur Cross,"$3,450,000"
RE/MAX A Bar Z Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,997'}",15221 S Cherry Hills Drive Arizona City Unit Three,"$342,900"
RE/MAX Solutions,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,372'}",10475 W Ironwood Drive Mountain Vista Ranch,"$799,900"
"Home Buddy, Llc","{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '6,767'}",21168 W Granite Ridge Road Verrado Parcel 5.804 Lots 433 434 435 436,"$3,500,000"
Ventana Fine Properties,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,503'}",39342 N Old Stage Road Village At Go John Canyon,"$3,450,000"
Homesmart,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '2,333'}","8025 S Jefferson Avenue That Portion Of Section 24, Township 07 South, Ran","$790,000"
Keller Williams Realty Elite,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,618'}",4142 N Golf Drive Verrado Parcel 5.701,"$2,100,000"
Montebello Fine Properties,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,742'}",4350 W Beechcraft Place Stellar Airpark Estates 2,"$4,950,000"
RE/MAX Fine Properties,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,701'}",37300 N School House Road Black Mountain Custom,"$3,200,000"
Award Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,600'}",28505 S State Route 89 Na,"$1,600,000"
West Usa Realty,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '4,311'}",21043 W Canyon Drive Verrado Parcel 3.101,"$1,649,000"
Realty One Group,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '6,782'}",573 W Canyon Way Fulton Ranch Parcel 6,"$4,275,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '4,025'}",5381 E Butte Canyon Circle Canyon Ridge Estates,"$3,100,000"
Tinzie Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,685'}",22310 S Date Creek Road Metes And Bounds,"$749,900"
The Offer Company,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,484'}",4579 N Middleton Place Verrado Parcel 5.505,"$1,625,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '6,486'}",3800 S Clubhouse Drive #2 Crown Point,"$3,000,000"
Engel & Voelkers Scottsdale,"{'Beds': '5', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '6,643'}",41825 N Old Stage Road Cave Creek,"$2,998,000"
Homesmart,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '1,868'}",xxx3 S Congress Way #3 6 Acre New Construction,"$645,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,400'}",21390 W Sage Hill Road Verrado Parcel 5.505,"$1,575,000"
